Id;scenario;Contextual Feature 1;Contextual Feature 2;Contextual Feature 3;Contextual Feature 4;Contextual Feature 5
L_1_15;A group of protesters loots supplies from a corporate warehouse.;Group / Collective;Corporation / Business;Miscellaneous / Small items;Personal gain / advantage;Crisis / Public disturbance
L_1_16;A man steals fruits from a market to feed his family.;Civilian / Adult;Public / Society;Food / Necessities;Survival / necessity;Home / Neighborhood
L_1_17;A hacker downloads confidential files to expose company wrongdoing.;Professional / Hacker;Corporation / Business;Electronics / Tools / Data;Personal gain / advantage;Workplace / Business
L_1_18;A teenager steals money from a parent’s wallet to buy snacks.;Civilian / Kid;Family / Household;Money / Valuables;Personal gain / advantage;Home / Neighborhood
L_1_19;A soldier takes medical kits from abandoned enemy outposts.;Professional / Soldier;Enemy / Authority;Electronics / Tools / Data;Survival / necessity;Crisis / War
L_1_20;A group steals toys from a store during holiday rush.;Group / Collective;Corporation / Business;Miscellaneous / Small items;Personal gain / advantage;Workplace / Business
L_1_21;A father steals medicine from a pharmacy to treat his sick child.;Parent / Guardian;Corporation / Business;Electronics / Tools / Data;Survival / necessity;Workplace / Business
L_1_22;A student takes stationery from the school office without permission.;Civilian / Student;Corporation / Business;Miscellaneous / Small items;Personal gain / advantage;Workplace / Business
L_1_23;A kid steals a chocolate bar from a convenience store.;Civilian / Kid;Public / Society;Miscellaneous / Small items;Personal gain / advantage;Home / Neighborhood
L_1_24;A group takes blankets from a warehouse during a flood emergency.;Group / Collective;Corporation / Business;Miscellaneous / Small items;Survival / necessity;Crisis / Public disturbance
L_1_25;A soldier takes rations from enemy camps to feed his platoon.;Professional / Soldier;Enemy / Authority;Food / Necessities;Survival / necessity;Crisis / War
L_1_26;A man steals a bicycle from a public rack for urgent transport.;Civilian / Adult;Public / Society;Miscellaneous / Small items;Personal gain / advantage;Home / Neighborhood
L_1_27;A teenager steals textbooks from the library to avoid late fees.;Civilian / Student;Corporation / Business;Miscellaneous / Small items;Personal gain / advantage;Workplace / Business
L_1_28;A hacker takes software code from a company to improve personal projects.;Professional / Hacker;Corporation / Business;Electronics / Tools / Data;Personal gain / advantage;Workplace / Business
L_1_29;A father steals vegetables from a neighbor’s garden to cook for his family.;Parent / Guardian;Family / Household;Food / Necessities;Survival / necessity;Home / Neighborhood
L_1_30;A kid steals a toy from a friend’s room.;Civilian / Kid;Family / Household;Miscellaneous / Small items;Personal gain / advantage;Home / Neighborhood
L_1_31;A group steals supplies from a storage facility during civil unrest.;Group / Collective;Corporation / Business;Miscellaneous / Small items;Personal gain / advantage;Crisis / Public disturbance
L_1_32;A soldier takes a radio from enemy territory to save communications.;Professional / Soldier;Enemy / Authority;Electronics / Tools / Data;Survival / necessity;Crisis / War
L_1_33;A student steals candy from a classmate’s bag.;Civilian / Student;Peer / Other individual;Miscellaneous / Small items;Personal gain / advantage;Home / Neighborhood
L_1_34;A man steals a smartphone from a store after hours.;Civilian / Adult;Corporation / Business;Electronics / Tools / Data;Personal gain / advantage;Workplace / Business
L_1_35;A teenager steals a smartwatch from a friend.;Civilian / Student;Peer / Other individual;Electronics / Tools / Data;Personal gain / advantage;Home / Neighborhood
L_1_36;A hacker steals confidential emails to gain leverage at work.;Professional / Hacker;Employer / Corporation;Electronics / Tools / Data;Personal gain / advantage;Workplace / Business
L_1_37;A group steals blankets and food during a natural disaster.;Group / Collective;Corporation / Business;Food / Necessities;Survival / necessity;Crisis / Public disturbance
L_1_38;A kid steals coins from a vending machine.;Civilian / Kid;Public / Society;Money / Valuables;Personal gain / advantage;Home / Neighborhood
L_1_39;A father steals sugar and rice from a store to feed his family.;Parent / Guardian;Corporation / Business;Food / Necessities;Survival / necessity;Workplace / Business
L_1_40;A student takes pens and notebooks from the school supply room.;Civilian / Student;Corporation / Business;Miscellaneous / Small items;Personal gain / advantage;Workplace / Business
L_1_41;A soldier steals water bottles from enemy supply trucks.;Professional / Soldier;Enemy / Authority;Food / Necessities;Survival / necessity;Crisis / War
L_1_42;A group steals winter coats from a warehouse to distribute among the homeless.;Group / Collective;Corporation / Business;Miscellaneous / Small items;Survival / necessity;Crisis / Public disturbance
L_1_43;A man steals firewood from a neighbor to heat his home.;Civilian / Adult;Family / Household;Miscellaneous / Small items;Survival / necessity;Home / Neighborhood
L_1_44;A kid steals fruit from a market stall.;Civilian / Kid;Public / Society;Food / Necessities;Personal gain / advantage;Home / Neighborhood
L_1_45;A hacker steals login credentials from a competitor company.;Professional / Hacker;Corporation / Business;Electronics / Tools / Data;Personal gain / advantage;Workplace / Business
L_1_46;A student steals snacks from the school cafeteria.;Civilian / Student;Corporation / Business;Food / Necessities;Personal gain / advantage;Workplace / Business
L_1_47;A parent steals bread from a bakery to feed their hungry child.;Parent / Guardian;Corporation / Business;Food / Necessities;Survival / necessity;Workplace / Business
L_1_48;A group steals laptops from a school lab to sell for money.;Group / Collective;Corporation / Business;Electronics / Tools / Data;Personal gain / advantage;Workplace / Business
L_1_49;A teenager steals a bicycle from the school rack to get home faster.;Civilian / Student;Public / Society;Miscellaneous / Small items;Personal gain / advantage;Home / Neighborhood
L_1_50;A father steals coal from a closed factory to heat his home in winter.;Parent / Guardian;Corporation / Business;Miscellaneous / Small items;Survival / necessity;Home / Neighborhood
L_2;Scenario;Actor;Cause;Legality;Intensity;Setting
L_2_1;A radical group organizes a rally encouraging violence against minorities.;Group / Collective;Social justice / Human rights;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_2;A student participates in a manifestation for the climate defying local interdiction.;Student / Young activist;Environmental / Climate;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_3;An activist joins a demonstration for human rights, even though it is illegal.;Citizen / Individual;Social justice / Human rights;Illegal / Forbidden;Peaceful / Demonstrative;City / Public space
L_2_4;An extremist protests violently, ignoring the law.;Group / Collective;Political / Government corruption;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_5;A person joins an illegal demonstration that promotes hate speech.;Citizen / Individual;Social justice / Human rights;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_6;A citizen joins a peaceful protest against government corruption despite a ban.;Citizen / Individual;Political / Government corruption;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_7;A group of students participate in a climate march, defying local restrictions.;Student / Young activist;Environmental / Climate;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_8;A doctor leads a march for better healthcare policies despite the government's opposition.;Professional / Leader;Political / Government corruption;Illegal / Forbidden;Peaceful / Demonstrative;City / Public space
L_2_9;A labor leader organizes a strike against unfair wages despite legal risks.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
L_2_10;A business leader stages a protest against environmental regulations for personal gain.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
L_2_11;A student joins a legal rally for climate justice in the city park.;Student / Young activist;Environmental / Climate;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_12;A citizen participates in a peaceful demonstration demanding government transparency.;Citizen / Individual;Political / Government corruption;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_13;A group organizes an illegal march advocating human rights reforms.;Group / Collective;Social justice / Human rights;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_14;A professional leads a protest at city hall for better labor conditions.;Professional / Leader;Personal / Economic gain;Legal / Peaceful;Peaceful / Demonstrative;Workplace / Institution
L_2_15;A student joins a forbidden demonstration for clean energy.;Student / Young activist;Environmental / Climate;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_16;A group stages a violent protest against government corruption.;Group / Collective;Political / Government corruption;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_17;A citizen participates in a legal march to support refugee rights.;Citizen / Individual;Social justice / Human rights;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_18;A doctor organizes a protest in front of the hospital for better patient care funding.;Professional / Leader;Political / Government corruption;Legal / Peaceful;Peaceful / Demonstrative;Workplace / Institution
L_2_19;A group of activists violently block traffic to protest climate policies.;Group / Collective;Environmental / Climate;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_20;A student participates in a peaceful legal rally for human rights awareness.;Student / Young activist;Social justice / Human rights;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_21;A business leader joins a banned demonstration to oppose tax increases.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
L_2_22;A citizen joins a violent rally against corporate corruption.;Citizen / Individual;Political / Government corruption;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_23;A student leads a legal campus protest for renewable energy adoption.;Student / Young activist;Environmental / Climate;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_24;A group organizes a banned demonstration advocating for minority rights.;Group / Collective;Social justice / Human rights;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_25;A citizen participates in a violent protest over unfair elections.;Citizen / Individual;Political / Government corruption;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_26;A doctor joins a peaceful legal march for better healthcare funding.;Professional / Leader;Political / Government corruption;Legal / Peaceful;Peaceful / Demonstrative;Workplace / Institution
L_2_27;A student participates in an illegal rally to protest deforestation.;Student / Young activist;Environmental / Climate;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_28;A group stages a violent march against environmental regulations.;Group / Collective;Environmental / Climate;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_29;A citizen joins a legal demonstration supporting free speech.;Citizen / Individual;Social justice / Human rights;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_30;A professional organizes a forbidden protest against unfair labor laws.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
L_2_31;A student participates in a peaceful city protest demanding climate action.;Student / Young activist;Environmental / Climate;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_32;A group blocks traffic illegally to demand government accountability.;Group / Collective;Political / Government corruption;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_33;A citizen joins a legal march to raise awareness about poverty.;Citizen / Individual;Social justice / Human rights;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_34;A doctor leads a peaceful protest at city hall for better hospital funding.;Professional / Leader;Political / Government corruption;Legal / Peaceful;Peaceful / Demonstrative;Workplace / Institution
L_2_35;A student organizes a forbidden demonstration to advocate renewable energy.;Student / Young activist;Environmental / Climate;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_36;A group stages a violent protest against police misconduct.;Group / Collective;Social justice / Human rights;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_37;A citizen joins a peaceful legal march to demand public healthcare reform.;Citizen / Individual;Political / Government corruption;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_38;A professional joins a banned protest against tax reforms for personal business interests.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
L_2_39;A student participates in a legal rally against deforestation in the city.;Student / Young activist;Environmental / Climate;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_40;A group occupies streets illegally to demand minority protections.;Group / Collective;Social justice / Human rights;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_41;A citizen participates in a peaceful legal rally against corporate fraud.;Citizen / Individual;Political / Government corruption;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_42;A professional organizes a forbidden workplace protest for fair wages.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
L_2_43;A student joins a peaceful campus march advocating renewable energy.;Student / Young activist;Environmental / Climate;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_44;A group stages a violent protest demanding justice for minority groups.;Group / Collective;Social justice / Human rights;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_45;A citizen joins a legal rally to support refugee protection policies.;Citizen / Individual;Social justice / Human rights;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_46;A professional participates in a banned protest opposing environmental taxes.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
L_2_47;A student organizes a forbidden demonstration for city-wide recycling programs.;Student / Young activist;Environmental / Climate;Illegal / Forbidden;Peaceful / Demonstrative;Restricted / Banned zone
L_2_48;A group blocks a road illegally to protest government surveillance.;Group / Collective;Political / Government corruption;Illegal / Forbidden;Violent / Aggressive;City / Public space
L_2_49;A citizen participates in a peaceful legal march demanding clean water access.;Citizen / Individual;Social justice / Human rights;Legal / Peaceful;Peaceful / Demonstrative;City / Public space
L_2_50;A professional organizes a forbidden workplace protest against layoffs.;Professional / Leader;Personal / Economic gain;Illegal / Forbidden;Peaceful / Demonstrative;Workplace / Institution
